States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount,District
assam,2022,2,TOTAL,941658,2134593237.4052541,kokrajhar district
assam,2022,2,TOTAL,663418,1596022243.6550176,karbi anglong district
assam,2022,2,TOTAL,694978,1292419445.2581577,sivasagar district
assam,2022,2,TOTAL,2372318,4426557091.530311,dibrugarh district
assam,2022,2,TOTAL,532090,1518417902.4851627,south salmara mancachar district
assam,2022,2,TOTAL,2624899,6401629329.647786,nagaon district
assam,2022,2,TOTAL,1748061,4095843491.511972,dhubri district
assam,2022,2,TOTAL,928135,1870905474.837348,golaghat district
assam,2022,2,TOTAL,731430,1374405319.608431,udalguri district
assam,2022,2,TOTAL,105899,192613565.7361275,majuli district
assam,2022,2,TOTAL,2331103,4228702694.6406856,sonitpur district
assam,2022,2,TOTAL,832316,1885347223.2358832,hojai district
assam,2022,2,TOTAL,1362294,3195268221.1941223,marigaon district
assam,2022,2,TOTAL,483371,1142819737.0710807,chirang district
assam,2022,2,TOTAL,2208886,4390976386.361718,cachar district
assam,2022,2,TOTAL,711088,1547056523.551427,nalbari district
assam,2022,2,TOTAL,98911,208934121.88290805,west karbi anglong district
assam,2022,2,TOTAL,698448,1532877539.60587,dhemaji district
assam,2022,2,TOTAL,1164306,2886007289.474466,karimganj district
assam,2022,2,TOTAL,1380703,3242058585.814122,bongaigaon district
assam,2022,2,TOTAL,228456,545715522.4659376,dima hasao district
assam,2022,2,TOTAL,905373,2132096440.2419512,baksa district
assam,2022,2,TOTAL,382915,812357268.893158,charaideo district
assam,2022,2,TOTAL,1764727,3227701241.9922876,darrang district
assam,2022,2,TOTAL,37896005,70515346667.22395,kamrup metropolitan district
assam,2022,2,TOTAL,787208,1571435620.2824044,hailakandi district
assam,2022,2,TOTAL,3782074,8597920826.98738,barpeta district
assam,2022,2,TOTAL,1660385,4241626695.2866406,goalpara district
assam,2022,2,TOTAL,604714,1221547710.8569949,biswanath district
assam,2022,2,TOTAL,1243165,2020664284.239387,jorhat district
assam,2022,1,TOTAL,1110108,2471991459.7376165,tinsukia district
assam,2022,1,TOTAL,725851,1653871930.7532177,lakhimpur district
assam,2022,1,TOTAL,1708845,3838019247.423967,kamrup district
assam,2022,1,TOTAL,703834,1794915585.4684856,kokrajhar district
assam,2022,1,TOTAL,576671,1480533626.5264075,karbi anglong district
assam,2022,1,TOTAL,570136,1201010320.385499,sivasagar district
assam,2022,1,TOTAL,1830668,3721424814.9586687,dibrugarh district
assam,2022,1,TOTAL,424292,1357660615.5399206,south salmara mancachar district
assam,2022,1,TOTAL,2049272,5405490459.948576,nagaon district
assam,2022,1,TOTAL,1247298,3380205337.130154,dhubri district
assam,2022,1,TOTAL,753488,1681747448.411046,golaghat district
assam,2022,1,TOTAL,547716,1168300625.4282162,udalguri district
assam,2022,1,TOTAL,89346,172837394.19285655,majuli district
assam,2022,1,TOTAL,1805856,3651941482.2987127,sonitpur district
assam,2022,1,TOTAL,665166,1595056089.1451948,hojai district
assam,2022,1,TOTAL,1027786,2790138101.722805,marigaon district
assam,2022,1,TOTAL,363645,951303010.3050023,chirang district
assam,2022,1,TOTAL,1869862,4225305321.285734,cachar district
assam,2022,1,TOTAL,571467,1369285179.1665456,nalbari district
assam,2022,1,TOTAL,88219,186901516.61209765,west karbi anglong district
assam,2022,1,TOTAL,562489,1369239048.8460484,dhemaji district
assam,2022,1,TOTAL,962907,2759677605.0696893,karimganj district
assam,2022,1,TOTAL,1014501,2661981437.245404,bongaigaon district
assam,2022,1,TOTAL,216314,509944077.09921765,dima hasao district
assam,2022,1,TOTAL,731895,1944006764.845173,baksa district
assam,2022,1,TOTAL,311136,742058516.3146229,charaideo district
assam,2022,1,TOTAL,1205741,2732173374.689469,darrang district
assam,2022,1,TOTAL,28908435,60093746992.89226,kamrup metropolitan district
assam,2022,1,TOTAL,652625,1476770132.0294952,hailakandi district
assam,2022,1,TOTAL,2846523,7413611760.549712,barpeta district
assam,2022,1,TOTAL,1299073,3720380319.7322354,goalpara district
assam,2022,1,TOTAL,470228,990785769.7113907,biswanath district
assam,2022,1,TOTAL,978493,1768122527.2374763,jorhat district
assam,2021,3,TOTAL,726497,1620117007.2069793,tinsukia district
assam,2021,3,TOTAL,433255,930738036.1633754,lakhimpur district
assam,2021,3,TOTAL,957373,2112276358.4188256,kamrup district
assam,2021,3,TOTAL,366661,966061545.1374367,kokrajhar district
assam,2021,3,TOTAL,338533,828250761.6786599,karbi anglong district
assam,2021,3,TOTAL,350815,733449637.2748528,sivasagar district
assam,2021,3,TOTAL,1116075,2517711536.27678,dibrugarh district
assam,2021,3,TOTAL,245208,682772092.1272931,south salmara mancachar district
assam,2021,3,TOTAL,1156024,2903215135.7842274,nagaon district
assam,2021,3,TOTAL,668723,1682447560.536893,dhubri district
assam,2021,3,TOTAL,446587,965096814.5378057,golaghat district
assam,2021,3,TOTAL,291168,657660643.9182184,udalguri district
assam,2021,3,TOTAL,51208,102034225.95327796,majuli district
assam,2021,3,TOTAL,1030160,2385666128.443201,sonitpur district
assam,2021,3,TOTAL,368350,874185464.7310762,hojai district
assam,2021,3,TOTAL,554657,1470486045.6813893,marigaon district
assam,2021,3,TOTAL,220676,528538770.5729964,chirang district
assam,2021,3,TOTAL,998685,2285248942.8809485,cachar district
assam,2021,3,TOTAL,318284,722110352.781739,nalbari district
assam,2021,3,TOTAL,57137,112522665.53612569,west karbi anglong district
assam,2021,3,TOTAL,359737,848544237.4544444,dhemaji district
assam,2021,3,TOTAL,524239,1393649226.0294735,karimganj district
assam,2021,3,TOTAL,548175,1331228200.2758412,bongaigaon district
assam,2021,3,TOTAL,149975,353350846.5920651,dima hasao district
assam,2021,3,TOTAL,418859,1074324607.6751742,baksa district
assam,2021,3,TOTAL,201059,479392451.000507,charaideo district
assam,2021,3,TOTAL,498938,1241235475.745712,darrang district
assam,2021,3,TOTAL,16840668,36123082534.66112,kamrup metropolitan district
assam,2021,3,TOTAL,360281,801449299.0694864,hailakandi district
assam,2021,3,TOTAL,1436928,3522432994.68204,barpeta district
assam,2021,3,TOTAL,650085,1747257315.9936597,goalpara district
assam,2021,3,TOTAL,288131,620203649.3743759,biswanath district
assam,2021,3,TOTAL,531290,1083758709.1114147,jorhat district
assam,2021,4,TOTAL,924326,2099664801.0310597,tinsukia district
assam,2021,4,TOTAL,560279,1263722648.4815915,lakhimpur district
assam,2021,4,TOTAL,1326629,2906827875.9780307,kamrup district
assam,2021,4,TOTAL,529425,1392051533.964034,kokrajhar district
assam,2021,4,TOTAL,448701,1157896438.235495,karbi anglong district
assam,2021,4,TOTAL,452511,991840782.996415,sivasagar district
assam,2021,4,TOTAL,1489321,3247229901.080471,dibrugarh district
assam,2021,4,TOTAL,314595,919174483.7722924,south salmara mancachar district
assam,2021,4,TOTAL,1599255,4181552742.898879,nagaon district
assam,2021,4,TOTAL,947815,2452971274.5289254,dhubri district
assam,2021,4,TOTAL,597064,1337575801.9516916,golaghat district
assam,2021,4,TOTAL,406086,917680978.0577191,udalguri district
assam,2021,4,TOTAL,65312,129028300.4276244,majuli district
assam,2021,4,TOTAL,1437714,3119948215.7692075,sonitpur district
assam,2021,4,TOTAL,527676,1247022294.0951037,hojai district
assam,2021,4,TOTAL,846244,2372441369.988904,marigaon district
assam,2021,4,TOTAL,298090,751602013.9126096,chirang district
assam,2021,4,TOTAL,1424029,3288405319.0304804,cachar district
assam,2021,4,TOTAL,437199,1015183560.9984299,nalbari district
assam,2021,4,TOTAL,72436,155335117.4559282,west karbi anglong district
assam,2021,4,TOTAL,450526,1098025411.0441427,dhemaji district
assam,2021,4,TOTAL,719693,2011084236.7440817,karimganj district
